reactions,data_type,kcat,MW,kcat_MW
rxn02795_num1,UniKP,7.197440426,38084.7279,680.3458227
rxn02792,UniKP,7.197440426,59444.5277,435.881763
rxn12846_num1,UniKP,7.197440426,29848.9962,868.0622076
rxn02796_num1,UniKP,7.197440426,38084.7279,680.3458227
rxn05460,UniKP,7.18783429,34208.4536,229.4870647
rxn22110,UniKP,7.165728956,27406.1064,941.2728633
rxn05465,UniKP,2100.0,32747.2721,230858.92397125807
rxn03921_reverse,UniKP,7.137727546,37127.2144,346.0509976
rxn04704_num1,UniKP,7.137727546,51224.8104,501.6283899
rxn11759,UniKP,7.137727546,54737.5608,469.4366864
rxn02056_num1,UniKP,7.137727546,30948.0729,830.2881814
rxn01454,UniKP,7.126657333,41256.7707,621.8607507
rxn01100,UniKP,7.097220299,41387.1704,617.3409013
rxn01484,UniKP,7.097220299,41124.6074,621.2823585
rxn01069,UniKP,4080.0,50403.6898,291407.23741221026
rxn02230_num1,UniKP,7.092337074,32514.7032,785.2574667
rxn00929_reverse_num1,UniKP,7.015625124,29412.4881,858.6913954
rxn00505,UniKP,124.0,46347.6199,9631.562547616388
rxn39452,UniKP,7.00932883,26771.2121,942.5641131
rxn05417,UniKP,6.995051278,44339.7899,223.3320525
rxn12512,UniKP,6.98725149,45362.3748,554.5147377
rxn01331,UniKP,6.924961396,36101.6886,172.6363918
LIPOS,UniKP,6.921152575,35661.4601,698.6856175
rxn05116,UniKP,6.921152575,35452.2241,351.4046002
rxn05293,UniKP,6.921152575,39940.5227,623.8313268
rxn03114,UniKP,6.897980647,38950.8358,637.5403716
rxn02548,UniKP,6.850574341,47879.176,515.0896421
rxn36708_num1,UniKP,6.790857226,64714.9128,377.7658805
rxn06098_num1,UniKP,6.790857226,43703.7864,279.6907091
rxn02474,UniKP,6.768778093,35145.1102,693.342573
rxn05447,UniKP,6.768778093,28969.9665,841.1332176
rxn00927,UniKP,6.768778093,50846.8577,479.2351433
rxn02914,UniKP,6.768778093,41924.4962,581.2258547
rxn01642,UniKP,6.756720357,32116.4087,757.3758795
rxn03397,UniKP,6.750968497,27406.1064,886.7909302
rxn01520,UniKP,6.679255344,33586.0882,357.9654632
rxn05450,UniKP,6.65077075,28969.9665,826.4688432
rxn39451,UniKP,6.598848887,26771.2121,887.3657235
rxn00776_num1,UniKP,6.578777673,32587.0504,270.9444291
rxn00690,UniKP,6.578777673,59285.4455,399.4842144
rxn00710,UniKP,6.578777673,25302.8524,936.0051289
rxn05034_reverse,UniKP,6.568986345,35066.9096,674.3779567
rxn01225_num1,UniKP,6.548617295,47476.7214,496.55961
rxn00790_num1,UniKP,6.548617295,54737.5608,430.6918671
rxn05409,UniKP,6.548617295,34208.4536,209.0786877
rxn00903_reverse,UniKP,6.548617295,40494.7051,582.1754277
rxn00414,UniKP,2660.0,40807.8371,234660.80734771412
rxn01858_num1,UniKP,6.548617295,37880.8299,622.3470374
rxn05455,UniKP,6.548617295,32747.2721,719.9079725
rxn05456,UniKP,6.548617295,32747.2721,719.9079725
rxn00256_num1,UniKP,6.548617295,47544.5133,495.8515847
rxn00202,UniKP,6.548617295,41256.7707,571.4218991
rxn01602,UniKP,6.548617295,16114.2011,1462.996652
rxn00192_num1,UniKP,6.548617295,43131.9348,273.2896446
rxn03052,UniKP,6.547742891,84927.9484,277.5514404
rxn29964,UniKP,6.547742891,59444.5277,396.5356496
rxn30018,UniKP,6.537805692,58573.8641,401.8191535
rxn00138,UniKP,6.473382787,61597.684,378.3288027
rxn00190,UniKP,6.473382787,61597.684,378.3288027
rxn01362_num1,UniKP,6.45308402,20779.9078,558.9799217
rxn00646,UniKP,6.449244727,52543.9231,220.9321235
rxn02465,UniKP,6.410255901,33836.3287,682.016109
rxn01964_num1,UniKP,6.409609029,28837.7523,157.6870822
rxn02286,UniKP,6.402403702,51022.5204,451.7349035
rxn02186,UniKP,6.355678775,36574.4253,625.5858678
rxn08796,UniKP,6.354065179,41794.9076,547.3067404
rxn01600,UniKP,6.311287917,58279.8519,389.8540535
rxn06076_num1,UniKP,6.229472519,40340.5691,555.9193033
rxn00199,UniKP,6.184938567,46347.6199,480.4082473
rxn00224,UniKP,6.182397304,37425.692,594.6885443
rxn08552,UniKP,6.164545493,22605.4401,227.7277525
rxn15166,UniKP,6.154639726,75194.6988,294.65778
rxn00640,UniKP,6.154639726,52267.0764,423.9131886
rxn10199_reverse_num1,UniKP,6.154639726,75291.4901,294.2789814
rxn12845_num1,UniKP,6.154639726,29848.9962,742.2930696
rxn10259_reverse,UniKP,6.154639726,19991.8961,1108.284222
rxn30633,UniKP,6.09414414,75194.6988,291.7615105
rxn04809,UniKP,6.09414414,32969.2773,665.4352385
rxn00279,UniKP,6.086858134,59369.9337,369.0873126
rxn12633_num1,UniKP,6.080009199,29848.9962,733.2921003
rxn06673,UniKP,6.012130336,31280.8371,330.1960009
rxn08309,UniKP,5.988740353,22120.2321,974.6491435
rxn08310,UniKP,5.988740353,22120.2321,974.6491435
rxn08550,UniKP,5.98167384,37422.9261,220.9721935
rxn00198,UniKP,5.966575245,46347.6199,463.4471183
rxn10209,UniKP,5.964377386,37422.9261,220.333236
rxn16573,UniKP,5.943026914,24497.861,873.3373453
rxn01268,UniKP,5.935844298,32050.4568,333.3655992
rxn00260_num5,UniKP,5.928145523,45284.97,235.6336317
rxn05404,UniKP,5.91743537,34208.4536,188.9268476
rxn00060,UniKP,5.912447255,33550.1818,634.4171321
rxn05006_reverse_num1,UniKP,5.855019392,51583.9245,408.6170259
rxn00549,UniKP,5.802656922,35303.7494,591.7095287
rxn00727,UniKP,5.796931222,22955.9468,153.4548233
rxn01834_reverse_num1,UniKP,5.796931222,15870.6512,1314.939894
rxn01843_reverse,UniKP,5.796931222,31723.7283,657.8341676
rxn08799,UniKP,5.767382199,41794.9076,496.7728632
rxn00851,UniKP,5.720657317,35214.165,584.8318806
rxn00650_num1,UniKP,5.720657317,29848.9962,689.9517224
rxn00859,UniKP,5.720657317,46338.1927,444.436115
rxn01300,UniKP,40.8,36737.325,3998.1136351108853
rxn02182_reverse,UniKP,5.720657317,51078.6542,403.1892904
rxn07672_reverse,UniKP,5.719131395,49102.3736,139.7683487
rxn09208,UniKP,5.719131395,29355.374,701.3664014
rxn01396,UniKP,5.712546184,36737.325,559.7894311
rxn01434,UniKP,5.712546184,45702.5338,112.4946723
rxn04727,UniKP,5.712546184,37127.2144,276.9554166
rxn00532_reverse,UniKP,5.647730979,37127.2144,273.8130486
