,fluxes,kcat_MW,E,equ,ec-code
rxn30633,0.0,193.6361776350909,0.0,cpd00001_c0 + cpd19019_c0 --> cpd00013_c0 + cpd00084_c0 + cpd00094_c0,4.4.1.1
rxn36699,0.0038470182407881457,,,cpd00282_c0 + cpd08232_c0 --> cpd00247_c0 + cpd25915_c0,
rxn36708_num1,0.0,73782.6649075061,0.0,cpd00221_c0 + cpd08232_c0 --> cpd00020_c0 + cpd25915_c0,
rxn36773,0.0,98105.83785635298,0.0,cpd00004_c0 + cpd00067_c0 + cpd08232_c0 --> cpd00003_c0 + cpd25915_c0,
rxn36841,0.0,98105.83785635298,0.0,cpd00005_c0 + cpd00067_c0 + cpd08232_c0 --> cpd00006_c0 + cpd25915_c0,
rxn37453,0.0,,,cpd00007_c0 + 4.0 cpd00067_c0 + 2.0 cpd25915_c0 --> 2.0 cpd00001_c0 + 4.0 cpd00067_p0 + 2.0 cpd08232_c0,
rxn39451,0.0,178357.21101477122,0.0,cpd00001_c0 + cpd00003_c0 + cpd02465_c0 --> cpd00004_c0 + cpd00067_c0 + cpd21488_c0,
rxn39452,0.0,178357.21101477122,0.0,cpd00001_c0 + cpd00006_c0 + cpd02465_c0 --> cpd00005_c0 + cpd00067_c0 + cpd21488_c0,
rxn39829,0.0,13.92490518299681,0.0,2.0 cpd00005_c0 + 3.0 cpd00067_c0 + cpd14718_c0 --> 2.0 cpd00006_c0 + cpd19185_c0,1.7.1.13
rxn39932,0.0,,,7.0 cpd00113_c0 + cpd00350_c0 --> 7.0 cpd00012_c0 + 7.0 cpd00067_c0 + cpd19241_c0,2.5.1.91
rxn40142,0.0,,,cpd00135_c0 + cpd00722_c0 --> cpd00029_c0 + cpd00067_c0 + cpd19019_c0,2.5.1.134
rxn42246,0.0,483.74345826124136,0.0,cpd00001_c0 + cpd32627_c0 --> cpd00024_c0 + cpd01017_c0,3.5.1.128
rxn43433,0.0038470182407881457,,,cpd00017_c0 + cpd00067_c0 + cpd03751_c0 --> cpd00060_c0 + cpd31750_c0,
rxn43624_reverse,0.00410978973788968,,,cpd00982_c0 + cpd34385_c0 --> cpd00001_c0 + cpd00015_c0 + cpd00559_c0,1.17.8.1
rxn44566,0.0038470182407881457,,,cpd34449_c0 --> cpd32729_c0,
rxn45641,0.0038470182407881457,,,cpd25915_c0 + cpd32729_c0 --> cpd08232_c0 + cpd33171_c0,
rxn45809,0.0038470182407881457,,,cpd00001_c0 + cpd31750_c0 --> cpd00128_c0 + cpd34449_c0,
rxn45829,0.00410978973788968,,,cpd00001_c0 + cpd02169_c0 --> cpd00012_c0 + cpd00067_c0 + cpd34385_c0,4.2.3.156
SacB,0.0,102110.57903148752,0.0,cpd00001_e0 + cpd00076_e0 --> cpd00027_e0 + cpd11851_e0,
SacC,0.0,103576.15725614062,0.0,cpd00001_e0 + cpd00076_e0 --> cpd00027_e0 + cpd00082_e0,
THGC,0.0016132841078253305,,,thbhga_c0 --> thbhet_c0,
ZM_BIOMASS,0.1,,,0.025 CARBOHYDRATES_c0 + 0.027 DNA_c0 + 0.085 LIPIDS_c0 + 0.025 PEPTIDOGLYCAN_c0 + 0.605 PROTEIN_c0 + 0.195 RNA_c0 + 0.038 SM_MOLECULES_c0 + 75.37 cpd00001_c0 + 75.37 cpd00002_c0 --> 75.37 cpd00008_c0 + 75.37 cpd00009_c0 + 75.37 cpd00067_c0,
ZM_CARBOHYDRATES_Syn,0.0025000000000000005,,,0.636007262046556 cpd00037_c0 + 1.08987286588716 cpd00043_c0 --> CARBOHYDRATES_c0 + 1.72588012793371 cpd00014_c0,
ZM_CARDIOLIPIN_Syn,0.0006254000000000001,,,0.1 cpd15426_c0 + 0.1 cpd15428_c0 + 0.02 cpd15429_c0 + 0.78 cpd15431_c0 --> CARDIOLIPIN_c0,
ZM_DNA_Syn,0.0027,,,4.4 cpd00001_c0 + 4.4 cpd00002_c0 + 0.567939498608654 cpd00115_c0 + 0.487710127057989 cpd00241_c0 + 0.487710127057989 cpd00356_c0 + 0.567939498608654 cpd00357_c0 --> DNA_c0 + 4.4 cpd00008_c0 + 4.4 cpd00009_c0,
ZM_HOPANOIDS_Syn,0.0027860000000000007,,,0.0699716614771018 cpd03750_c0 + 0.0243468945535997 cpd03751_c0 + 0.109713884474937 cpd33171_c0 + 0.579068236836084 thbhet_c0 + 0.692057161096784 thbhga_c0 --> HOPANOIDS_c0,
ZM_LIPIDS_Syn,0.0085,,,0.327764705882353 HOPANOIDS_c0 + 0.623529411764706 PHOSPHOLIPIDS_c0 + 0.0476470588235294 TAGS_c0 --> LIPIDS_c0,
ZM_PC_Syn,0.0013250000000000004,,,PE_c0 + cpd00017_c0 --> PC_c0 + cpd00019_c0 + cpd00067_c0,
ZM_PE_Syn,0.004796500000000002,,,0.1 cpd15529_c0 + 0.1 cpd15531_c0 + 0.02 cpd15532_c0 + 0.78 cpd15534_c0 --> PE_c0,
ZM_PEPTIDOGLYCAN_Syn,0.0025000000000000005,,,3.824 cpd00002_c0 + 0.521856116962568 cpd03495_c0 --> PEPTIDOGLYCAN_c0 + 3.824 cpd00008_c0 + 3.824 cpd00009_c0 + 0.521856116962568 cpd02229_c0,
ZM_PG_Syn,0.00028620000000000007,,,0.1 cpd15536_c0 + 0.1 cpd15538_c0 + 0.02 cpd15539_c0 + 0.78 cpd15541_c0 --> PG_c0,
ZM_PHOSPHOLIPIDS_Syn,0.005300000000000002,,,0.118 CARDIOLIPIN_c0 + 0.25 PC_c0 + 0.655 PE_c0 + 0.054 PG_c0 + 0.141 PL_c0 --> PHOSPHOLIPIDS_c0,
ZM_PL_Syn,0.0007473000000000002,,,4.0 cpd00121_c0 + cpd15418_c0 + cpd15419_c0 + cpd15420_c0 + cpd15423_c0 --> PL_c0 + 4.0 cpd00046_c0,
ZM_PROTEIN_Syn,0.0605,,,44.92 cpd00002_c0 + 0.30970481260049 cpd00023_c0 + 1.90302626736993 cpd00033_c0 + 2.14406279010887 cpd00035_c0 + 0.443040913946036 cpd00039_c0 + 0.438406590998729 cpd00041_c0 + 0.315370327964786 cpd00051_c0 + 0.307539837372997 cpd00053_c0 + 0.383268460151792 cpd00054_c0 + 0.144944111502508 cpd00060_c0 + 0.0931111695815367 cpd00065_c0 + 0.0194304038262949 cpd00066_c0 + 0.122188110863957 cpd00069_c0 + 0.0369544131910766 cpd00084_c0 + 0.672498343273691 cpd00107_c0 + 0.145891204969488 cpd00119_c0 + 0.395530772751862 cpd00129_c0 + 0.435072161515611 cpd00132_c0 + 1.05720740710856 cpd00156_c0 + 0.41495253164557 cpd00161_c0 + 0.672498343273691 cpd00322_c0 --> PROTEIN_c0 + 44.92 cpd00008_c0 + 44.92 cpd00009_c0,
ZM_RNA_Syn,0.019500000000000003,,,1.69681771220378 cpd00002_c0 + 0.637420063540157 cpd00038_c0 + 0.490813448925921 cpd00052_c0 + 0.539682320463999 cpd00062_c0 --> RNA_c0 + 1.24 cpd00008_c0 + 1.24 cpd00009_c0,
ZM_SM_MOLECULES_Syn,0.0038,,,0.000888006880987719 cpd00003_c0 + 0.00079341900195665 cpd00006_c0 + 0.000769482212341386 cpd00010_c0 + 0.000750739647469178 cpd00015_c0 + 0.00238988885821865 cpd00016_c0 + 0.00147282693223111 cpd00017_c0 + 0.00129185947669356 cpd00050_c0 + 0.00138982876058824 cpd00056_c0 + 0.0146765292943525 cpd00063_c0 + 0.00132658719524976 cpd00087_c0 + 0.0165933792416826 cpd00099_c0 + 0.00652362530905675 cpd00118_c0 + 0.000709811871461588 cpd00155_c0 + 0.0150451504966404 cpd00205_c0 + 0.0242022338661858 cpd00254_c0 + 0.0105342996797573 cpd10515_c0 + 0.00356677011488923 cpd11574_c0 --> SM_MOLECULES_c0,
ZM_TAGS_Syn,0.0004049999999999999,,,1.23517786561265 cpd00080_c0 + 0.444664031620553 cpd11466_c0 + 0.407608695652174 cpd11468_c0 + 0.111166007905138 cpd11825_c0 + 0.592885375494071 cpd15239_c0 + 1.11166007905138 cpd15268_c0 + 0.555830039525692 cpd15277_c0 + 0.222332015810277 cpd15294_c0 + 0.259387351778656 cpd16099_c0 --> TAGS_c0 + 1.23517786561265 cpd00009_c0 + 3.70553359683794 cpd11493_c0,
ACTNtex,0.0,,,cpd01221_p0 --> cpd01221_e0,
ACTNtpp,0.0,,,cpd01221_c0 --> cpd01221_p0,
ATPM,3.71,,,cpd00001_c0 + cpd00002_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0,
EX_ac_e,0.005780021389107987,,,cpd00029_e0 --> ,
EX_actn__S_e,0.0,,,cpd01221_e0 --> ,
EX_adn_e,0.0,,,cpd00182_e0 --> ,
EX_ala-L-gln-L_e,0.0,,,cpd11587_e0 --> ,
EX_amob_c0,0.0,,,cpd02701_c0 --> ,
EX_arg__L_e,0.0,,,cpd00051_e0 --> ,
EX_asn_L_e,0.0,,,cpd00132_e0 --> ,
EX_asp_L_e,0.0,,,cpd00041_e0 --> ,
EX_buts_e,0.0,,,cpd11596_e0 --> ,
EX_ca2_e,0.0,,,cpd00063_e0 --> ,
EX_cbl1_e,0.0,,,cpd00635_e0 --> ,
EX_cbl2_e,0.0,,,cpd00423_e0 --> ,
EX_cd2_e,0.0,,,cpd01012_e0 --> ,
EX_cgly_e,0.0,,,cpd01017_e0 --> ,
EX_cit_e,0.0,,,cpd00137_e0 --> ,
EX_cl_e,0.0,,,cpd00099_e0 --> ,
EX_co2_e,78.58740834938442,,,cpd00011_e0 --> ,
EX_cobalt2_e,0.0,,,cpd00149_e0 --> ,
EX_cu2_e,0.0,,,cpd00058_e0 --> ,
EX_cynt_e,0.0,,,cpd01015_e0 --> ,
EX_cys__L_e,0.0,,,cpd00084_e0 --> ,
EX_Cytidine_e,0.0,,,cpd00367_e0 --> ,
EX_dad_2_e,0.0,,,cpd00438_e0 --> ,
EX_dad_5_e,0.0,,,cpd03091_e0 --> ,
EX_dcyt_e,0.0,,,cpd00654_e0 --> ,
EX_dgsn_e,0.0,,,cpd00277_e0 --> ,
EX_din_e,0.0,,,cpd03279_e0 --> ,
EX_duri_e,-5.82311976415895e-14,,,cpd00412_e0 --> ,
EX_etha_e,0.0,,,cpd00162_e0 --> ,
EX_eths_e,0.0,,,cpd11579_e0 --> ,
EX_etoh_e,78.50332661993683,,,cpd00363_e0 --> ,
EX_fald_e,0.15202543069117352,,,cpd00055_e0 --> ,
EX_fe2_e,0.0,,,cpd10515_e0 --> ,
EX_fe3_e,0.0,,,cpd10516_e0 --> ,
EX_fe3dcit_e,0.0,,,cpd03725_e0 --> ,
EX_fru_e,0.0,,,cpd00082_e0 --> ,
EX_g15lac_e,0.0,,,cpd00170_e0 --> ,
EX_gcald_e,5.041031341948901e-06,,,cpd00229_e0 --> ,
EX_glc_D_e,-40.0,,,cpd00027_e0 <-- ,
EX_glcn_e,0.0,,,cpd00222_e0 --> ,
EX_gln_L_e,0.0,,,cpd00053_e0 --> ,
EX_glu_L_e,0.0,,,cpd00023_e0 --> ,
EX_gthrd_e,0.0,,,cpd00042_e0 --> ,
EX_gtp_e,0.0,,,cpd00038_e0 --> ,
EX_h_e,0.0,,,cpd00067_e0 --> ,
EX_h2_e,0.0,,,cpd11640_e0 --> ,
EX_h2o_e,4.977910066570028,,,cpd00001_e0 --> ,
EX_h2s_e,0.0,,,cpd00239_e0 --> ,
EX_hexs_e,0.0,,,cpd11578_e0 --> ,
EX_hg2_e,0.0,,,cpd00531_e0 --> ,
EX_hxan_e,0.0,,,cpd00226_e0 --> ,
EX_ins_e,0.04435377874256266,,,cpd00246_e0 --> ,
EX_istnt_e,0.0,,,cpd03048_e0 --> ,
EX_k_e,0.0,,,cpd00205_e0 --> ,
EX_kdo2lipid4_e,0.0,,,cpd03586_e0 --> ,
EX_lac_D_e,0.0,,,cpd00221_e0 --> ,
EX_Lcyst_e,0.0,,,cpd00395_e0 --> ,
EX_lys_L_e,0.0,,,cpd00039_e0 --> ,
EX_meoh_e,0.0,,,cpd00116_e0 --> ,
EX_met__L_e,0.0,,,cpd00060_e0 --> ,
EX_mg2_e,0.0,,,cpd00254_e0 --> ,
EX_mn2_e,0.0,,,cpd00030_e0 --> ,
EX_mobd_e,0.0,,,cpd11574_e0 --> ,
EX_mops_e,0.0,,,cpd11575_e0 --> ,
EX_mso3_e,0.0,,,cpd08023_e0 --> ,
EX_n2_e,0.0,,,cpd00528_e0 --> ,
EX_na1_e,0.0,,,cpd00971_e0 --> ,
EX_nh4_e,0.0,,,cpd00013_e0 --> ,
EX_o2_e,0.0,,,cpd00007_e0 --> ,
EX_Pb_e,0.0,,,cpd04097_e0 --> ,
EX_pheme_e,0.0,,,cpd00028_e0 --> ,
EX_pi_e,0.0,,,cpd00009_e0 --> ,
EX_ribflv_e,0.0,,,cpd00220_e0 --> ,
EX_sbt_D_e,0.0,,,cpd00588_e0 --> ,
EX_ser_L_e,0.0,,,cpd00054_e0 --> ,
EX_skm_e,0.0,,,cpd00383_e0 --> ,
EX_so4_e,0.0,,,cpd00048_e0 --> ,
EX_spmd_e,0.0,,,cpd00264_e0 --> ,
EX_succ_e,0.019104292669900963,,,cpd00036_e0 --> ,
EX_sucr_e,0.0,,,cpd00076_e0 --> ,
EX_sula_e,0.0,,,cpd09878_e0 --> ,
EX_taur_e,0.0,,,cpd00210_e0 --> ,
EX_thm_e,0.0,,,cpd00305_e0 --> ,
EX_thmmp_e,0.0,,,cpd00793_e0 --> ,
EX_thymd_e,0.0,,,cpd00184_e0 --> ,
EX_tsul_e,0.0,,,cpd00268_e0 --> ,
EX_ttdca_e,0.0,,,cpd03847_e0 --> ,
EX_uri_e,0.0,,,cpd00249_e0 --> ,
EX_Vitamin_B12_e,0.0,,,cpd03424_e0 --> ,
EX_xyl_D_e,0.0,,,cpd00154_e0 --> ,
EX_zn2_e,0.0,,,cpd00034_e0 --> ,
HPN,0.003541355358640971,,,cpd00001_c0 + thbhaga_c0 --> cpd00029_c0 + cpd00067_c0 + thbhga_c0,
HPN4,0.003541355358640971,,,cpd01482_c0 + cpd33171_c0 --> cpd00014_c0 + cpd00067_c0 + thbhaga_c0,
rxn08525,0.0,,,cpd00047_p0 --> cpd00047_e0,
rxn08526,0.0,,,cpd00047_c0 --> cpd00047_p0,
EX_for_e,0.0,,,cpd00047_e0 --> ,
rxn08669,0.0,,,cpd00001_c0 + cpd02090_c0 --> cpd00067_c0 + cpd00080_c0 + cpd00100_c0,3.1.4.46
RXN-23382,0.0,,,cpd00003_c0 + cpd00588_c0 --> cpd00004_c0 + cpd00067_c0 + cpd35301_c0,
rxn08100,0.0,,,cpd15385_c0 --> cpd15388_c0,5.1.1.20
