reactions,data_type,kcat,MW,kcat_MW
rxn12641_num3,DLkcat,9.7141,97500.04640000068,358.6742908462837
rxn05457_reverse,DLkcat,9.6948,32747.272100000017,1065.7767124364532
rxn00650_num3,DLkcat,9.6166,97500.04640000068,355.0742925595137
rxn11759_reverse,DLkcat,9.602,54737.5608000001,631.5078621479228
rxn01300_reverse,DLkcat,9.546,36737.325000000055,935.4409990384424
rxn05458_reverse,DLkcat,9.5111,32747.272100000017,1045.5820532300152
rxn01434,DLkcat,9.4578,45702.533800000005,186.24831693686093
rxn00474_num1,DLkcat,9.3856,44328.01430000002,230.9014281550628
rxn05459_reverse,DLkcat,9.347,32747.272100000017,1027.5420773139751
rxn06060_num2,DLkcat,9.1548,38073.94180000005,865.6125014090336
rxn03147_num1,DLkcat,9.1368,29610.56620000001,1110.835901543821
rxn00921,DLkcat,9.1252,26959.1633,1218.5363334328704
rxn02312_reverse,DLkcat,9.1121,46928.922000000086,349.50259458335665
rxn02182_reverse,DLkcat,8.9676,51078.65420000011,632.0323138035991
rxn03951,DLkcat,8.8627,35452.22410000004,449.9819237010855
rxn11663,DLkcat,8.8627,35452.22410000004,449.9819237010855
rxn12636_reverse_num1,DLkcat,8.7931,29848.99620000002,1060.510034839965
rxn05408,DLkcat,8.7766,32747.272100000017,964.836396250544
rxn09200,DLkcat,8.6471,26959.1633,1154.693105776024
rxn00055_reverse_num2,DLkcat,8.334,32918.5824,911.4122727228984
rxn00508,DLkcat,8.2556,49622.11210000003,598.929766232179
SacC,DLkcat,8.129,46099.78640000002,634.8055443484654
rxn00690,DLkcat,8.12,59285.44550000012,493.0721149763467
rxn00599,DLkcat,7.8851,44228.05700000009,320.9089650942607
rxn02927,DLkcat,7.7702,47269.79000000003,295.8836923117279
rxn09310_num1,DLkcat,7.7504,27126.23329999998,188.65376641078487
rxn09310_num2,DLkcat,7.7504,27126.23329999998,182.75317311024963
rxn09310_num3,DLkcat,7.7504,27126.23329999998,190.3510311427892
rxn02504_reverse,DLkcat,7.7449,16264.286199999977,1714.286114812714
rxn09202,DLkcat,7.7429,26959.1633,1033.9504861413857
rxn00861,DLkcat,7.6572,44228.05700000009,311.6338572142107
rxn01607_reverse_num2,DLkcat,7.6042,32608.92340000001,839.4978167233817
rxn01740_reverse,DLkcat,7.5552,31557.856700000026,430.9342085326089
rxn01739,DLkcat,7.5179,19608.35229999999,1380.250598618631
rxn01216_reverse,DLkcat,7.4865,49902.84350000009,540.0774406773023
rxn00337_num1,DLkcat,245.0,45450.450400000045,19405.74828715007
rxn01739_reverse,DLkcat,7.4609,19608.35229999999,1369.7856703645623
rxn01396,DLkcat,7.4499,36737.325000000055,730.0379110346212
rxn02312,DLkcat,7.3346,46928.922000000086,281.3250216998374
rxn00783_reverse,DLkcat,7.3174,16264.286199999977,1619.6616117097126
rxn01607_num2,DLkcat,7.3061,32608.92340000001,806.5878065756685
rxn00927,DLkcat,7.0856,50846.85770000005,501.666398944452
CYOR_Q10_reverse,DLkcat,7.0184,21238.701699999998,1189.632038572301
rxn00743,DLkcat,6.9298,63010.68880000016,395.9213980215994
rxn12636_reverse_num2,DLkcat,6.8877,52535.66840000006,471.9787670960701
rxn00179,DLkcat,6.887,42508.11390000007,583.2580588808471
rxn00838,DLkcat,999.0,46766.77610000001,76900.74663923646
rxn01137_num2,DLkcat,6.7997,37880.82990000003,646.2086513051811
