,kcat,MW,kcat_MW
rxn03958,2.0479524,837152.6819812017,8.806790922
rxn04113,15.225424,365037.9030457159,150.152973
rxn04137,1.678719,275812.0200605093,21.91125825
rxn04270,11.141102,742544.2879649237,54.01424245
rxn04271,11.141102,742544.2879649237,54.01424245
rxn04453_num1,26.177021,486781.5229985466,193.5925485
rxn04658,8.501775,742544.288017345,41.21826872
rxn04674,2.6068501,274061.06396633835,34.24295383
rxn04704_num1,1.9692227,512248.1041224788,13.83939084
rxn04723,12.611826,742544.2880281737,61.14460017
rxn04726_num1,57.124725,1605791.0998038028,128.0671004
rxn04727,12.992911,742544.2879795462,62.99217482
rxn04737,12.992911,742544.2879795462,62.99217482
rxn04744,12.611826,742544.2880281737,61.14460017
rxn04757,65.87237,518760.5020491712,457.1291204
rxn04760,21.718914,518760.50188909867,150.7209784
rxn04792,10.402487,395821.4220190496,94.61072877
rxn04809,1.1155885,329692.77309818735,12.18139713
rxn04810,1.1492976,329692.77293578035,12.54947545
rxn04811,1.1155885,329692.77309818735,12.18139713
rxn04830,1.6427593,329692.77301393653,17.93771039
